episode,task,reward_fraction,error_distance,reward_rate,ordered_episode
-499,gain1x,0.0033333333333333,288.9826435446739,0.0009803921568627,499
-499,gain2x,0.0033333333333333,292.1674345731735,0.0009803921568627,499
-499,gain3x,0.01,295.86404941479367,0.0029411764705882,499
-499,gain4x,0.0066666666666666,297.3965877890587,0.0019607843137254,499
-999,gain1x,0.0,416.50270859400433,0.0,999
-999,gain2x,0.0,218.75175813833872,0.0,999
-999,gain3x,0.0,361.4521431525548,0.0,999
-999,gain4x,0.0,323.0264620780945,0.0,999
-1499,gain1x,0.0,402.0926830371221,0.0,1499
-1499,gain2x,0.0,404.7713477214177,0.0,1499
-1499,gain3x,0.0,301.64672670761746,0.0,1499
-1499,gain4x,0.0,227.41096033900976,0.0,1499
-1999,gain1x,0.0,399.4220655759176,0.0,1999
-1999,gain2x,0.0,405.1181095441182,0.0,1999
-1999,gain3x,0.0,322.0491779943307,0.0,1999
-1999,gain4x,0.0,235.2434298843145,0.0,1999
-2499,gain1x,0.0,398.6089152097702,0.0,2499
-2499,gain2x,0.0,396.2548416058223,0.0,2499
-2499,gain3x,0.0,281.8464977343877,0.0,2499
-2499,gain4x,0.0,225.11536553005377,0.0,2499
-2999,gain1x,0.0,402.23329798380536,0.0,2999
-2999,gain2x,0.0,174.5035436923305,0.0,2999
-2999,gain3x,0.0,315.81026283899945,0.0,2999
-2999,gain4x,0.0,265.5477522164583,0.0,2999
-3499,gain1x,0.0,491.02953092257184,0.0,3499
-3499,gain2x,0.0,1046.0462872187295,0.0,3499
-3499,gain3x,0.0,1590.1165148417156,0.0,3499
-3499,gain4x,0.0,2116.41477394104,0.0,3499
-3999,gain1x,0.0,468.9744884173076,0.0,3999
-3999,gain2x,0.0,1062.5699570973711,0.0,3999
-3999,gain3x,0.0,1656.6317558288574,0.0,3999
-3999,gain4x,0.0,2247.189732233683,0.0,3999
-4499,gain1x,0.0,482.4540695349376,0.0,4499
-4499,gain2x,0.0,544.3469955126444,0.0,4499
-4499,gain3x,0.0,419.59586451450986,0.0,4499
-4499,gain4x,0.0,327.8088241914908,0.0,4499
-4999,gain1x,0.0,430.2267727851868,0.0,4999
-4999,gain2x,0.0,265.125023663044,0.0,4999
-4999,gain3x,0.0,207.22222848360735,0.0,4999
-4999,gain4x,0.0,320.19651400049526,0.0,4999
-5499,gain1x,0.0,419.89576530456543,0.0,5499
-5499,gain2x,0.0,558.8925640583038,0.0,5499
-5499,gain3x,0.0,616.2995851039886,0.0,5499
-5499,gain4x,0.0,654.010532617569,0.0,5499
-5999,gain1x,0.0133333333333333,293.2013215323289,0.0049633949621541,5999
-5999,gain2x,0.0433333333333333,286.82788961132366,0.0197959494441906,5999
-5999,gain3x,0.0066666666666666,392.05165062844753,0.002023267577137,5999
-5999,gain4x,0.0033333333333333,405.6800081233184,0.0009886307464162,5999
-6499,gain1x,0.0,201.4429702659448,0.0,6499
-6499,gain2x,0.0,161.21282460540533,0.0,6499
-6499,gain3x,0.0,330.770892004172,0.0,6499
-6499,gain4x,0.0,691.7434057394663,0.0,6499
-6999,gain1x,0.0,169.58976225058237,0.0,6999
-6999,gain2x,0.0,527.7296528816223,0.0,6999
