episode,task,reward_fraction,error_distance,reward_rate,ordered_episode
499,noise0,0.9,29.667278405899804,0.4183452122714595,499
499,noise0.4,0.7066666666666667,52.2491870932281,0.39567002612915264,499
499,noise0.8,0.65,55.61305239299933,0.36757775683317623,499
999,noise0,0.4866666666666667,76.73818693185846,0.22061045633121787,999
999,noise0.4,0.45,83.81761153539021,0.1946647440519106,999
999,noise0.8,0.4,89.46738268683355,0.17086715079026055,999
1499,noise0,0.9966666666666667,32.79458254637817,0.5709375596715677,1499
1499,noise0.4,0.8966666666666666,41.409504268318415,0.5400521983537442,1499
1499,noise0.8,0.88,44.084440000355244,0.5185621685327048,1499
1999,noise0,0.9966666666666667,28.13612590233485,0.5947881440222796,1999
1999,noise0.4,0.9066666666666666,38.32553055882454,0.5512768544791244,1999
1999,noise0.8,0.85,43.10606273512045,0.4930394431554524,1999
2499,noise0,1.0,23.28547611211737,0.6576063130206049,2499
2499,noise0.4,0.94,33.31649496654669,0.6219673577415086,2499
2499,noise0.8,0.8866666666666667,38.25342516352733,0.5835892935498025,2499
2999,noise0,1.0,19.67767289467156,0.6762849413886384,2999
2999,noise0.4,0.9466666666666667,31.593822892134387,0.6379155435759208,2999
2999,noise0.8,0.9333333333333333,34.568700291061155,0.6266786034019696,2999
3499,noise0,1.0,18.22061473503709,0.646551724137931,3499
3499,noise0.4,0.96,31.725233980842557,0.6490872210953346,3499
3499,noise0.8,0.93,35.32012040602664,0.6330837304288631,3499
3999,noise0,1.0,18.92939535342157,0.6795016987542469,3999
3999,noise0.4,0.9533333333333334,32.88824002444744,0.6621903218337578,3999
3999,noise0.8,0.9133333333333333,37.85412820521742,0.6287287746672785,3999
4499,noise0,1.0,13.529982485808432,0.6555944055944055,4499
4499,noise0.4,0.9633333333333334,31.498860123877723,0.6575654152445961,4499
4499,noise0.8,0.9066666666666666,37.194849204582475,0.6191668563623947,4499
4999,noise0,1.0,12.833386845886707,0.6455777921239508,4999
4999,noise0.4,0.9433333333333334,32.88702520479759,0.6523743660673121,4999
4999,noise0.8,0.9,38.40678714339932,0.6263048016701461,4999
5499,noise0,1.0,11.00684659803907,0.6382978723404256,5499
5499,noise0.4,0.9666666666666667,31.862914595752954,0.6628571428571428,5499
5499,noise0.8,0.9066666666666666,37.29728867920736,0.6296296296296297,5499
5999,noise0,1.0,14.560443449455002,0.6712911165808906,5999
5999,noise0.4,0.9466666666666667,34.403156224638224,0.6629318394024276,5999
5999,noise0.8,0.8966666666666666,39.403133022909365,0.6332391713747646,5999
6499,noise0,1.0,15.595415257615969,0.6737031214911295,6499
6499,noise0.4,0.96,32.97038257191889,0.6643598615916955,6499
6499,noise0.8,0.9166666666666666,37.05184765268738,0.6428237494156147,6499
6999,noise0,1.0,15.518068366218358,0.6730984967466905,6999
6999,noise0.4,0.9466666666666667,33.89791490820547,0.6571031929662192,6999
6999,noise0.8,0.9333333333333333,36.07519910732905,0.6510113926993722,6999
7499,noise0,1.0,16.814340887591243,0.6871278057718735,7499
7499,noise0.4,0.9266666666666666,33.04108949253956,0.6450116009280742,7499
7499,noise0.8,0.9366666666666666,35.30566942474494,0.6537924616100512,7499
7999,noise0,1.0,18.35683420735101,0.6782726656115758,7999
7999,noise0.4,0.94,33.44608278696736,0.6520231213872832,7999
7999,noise0.8,0.94,35.30282296426594,0.6547480845135825,7999
8499,noise0,1.0,17.16023774817586,0.6790402897238569,8499
8499,noise0.4,0.9533333333333334,32.9500694219023,0.6574712643678161,8499
8499,noise0.8,0.9166666666666666,35.547829176299274,0.6329113924050633,8499
8999,noise0,1.0,19.184034815989435,0.6915629322268326,8999
8999,noise0.4,0.96,30.79435594876607,0.6675938803894297,8999
8999,noise0.8,0.9433333333333334,33.69286886292199,0.6572224802601021,8999
9499,noise0,1.0,19.915936685322475,0.687915615684476,9499
9499,noise0.4,0.9566666666666667,31.868349188938737,0.665275846082522,9499
9499,noise0.8,0.9166666666666666,34.20991367908815,0.6401303538175046,9499
9999,noise0,1.0,16.480419486450653,0.6764374295377678,9999
9999,noise0.4,0.95,30.855512003103893,0.6524725274725275,9999
9999,noise0.8,0.9266666666666666,33.278083181629576,0.6387867647058822,9999
10499,noise0,1.0,18.24699565116316,0.6994637444625786,10499
10499,noise0.4,0.9633333333333334,30.959466772153974,0.6655918931368032,10499
10499,noise0.8,0.9366666666666666,33.108889520789184,0.6486611265004616,10499
10999,noise0,1.0,18.107311747347314,0.6965405154399813,10999
10999,noise0.4,0.9533333333333334,30.425732142912846,0.6589861751152074,10999
10999,noise0.8,0.93,34.26172362205883,0.6422651933701657,10999
11499,noise0,1.0,18.204143904459972,0.691085003455425,11499
11499,noise0.4,0.9733333333333334,30.53333493570487,0.6720368239355581,11499
11499,noise0.8,0.92,34.50136123163005,0.6374133949191686,11499
11999,noise0,1.0,20.124727065781673,0.6993006993006993,11999
11999,noise0.4,0.96,31.171664563007653,0.6671299513551077,11999
11999,noise0.8,0.9066666666666666,34.61156869431337,0.6289017341040463,11999
12499,noise0,1.0,18.000945785393316,0.6928406466512702,12499
12499,noise0.4,0.9433333333333334,32.20120441851517,0.6513233601841196,12499
12499,noise0.8,0.94,32.72856028564274,0.6450137236962488,12499
12999,noise0,1.0,17.551940072793514,0.696217219772569,12999
12999,noise0.4,0.9633333333333334,31.679654307818662,0.6649792913023469,12999
12999,noise0.8,0.94,33.438197600344814,0.6448662245597987,12999
13499,noise0,1.0,19.874263922994334,0.6997900629811056,13499
13499,noise0.4,0.9566666666666667,29.171508259217564,0.6654300950614421,13499
